"species","checked","match","matched_name","speciesKey","status","FAO_region","in_study_region","country"
"Thunnus maccoyii","Thunnus maccoyii",TRUE,"Thunnus maccoyii","Fis-22835","aquamaps_outside_bbox","Atlantic, Southwest_Atlantic, Southeast_Atlantic, Antarctic_Indian Ocean, Western_Indian Ocean, Eastern_Indian Ocean, Antarctic and Southern_Pacific, Southwest_Pacific, Southeast",FALSE,NA
"Zoarces andriashevi","Zoarces andriashevi",TRUE,"Zoarces andriashevi",NA,"aquamaps_no_raster","Pacific, Northwest",FALSE,NA
"Acipenser sturio","Acipenser sturio",TRUE,"Acipenser sturio","Fis-29593","aquamaps_outside_bbox","Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA
"Paralichthys olivaceus","Paralichthys olivaceus",TRUE,"Paralichthys olivaceus","Fis-23711","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Western Central",FALSE,NA
"Psettichthys melanostictus","Psettichthys melanostictus",TRUE,"Psettichthys melanostictus","Fis-30880","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Pseudopleuronectes yokohamae","Pseudopleuronectes yokohamae",TRUE,"Pseudopleuronectes yokohamae",NA,"aquamaps_no_raster","Pacific, Northwest",FALSE,NA
"Hippoglossoides elassodon","Hippoglossoides elassodon",TRUE,"Hippoglossoides elassodon","Fis-29417","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Isopsetta isolepis","Isopsetta isolepis",TRUE,"Isopsetta isolepis","Fis-24715","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Eopsetta grigorjewi","Eopsetta grigorjewi",TRUE,"Eopsetta grigorjewi","Fis-27196","aquamaps_outside_bbox","Pacific, Northwest",FALSE,NA
"Liopsetta pinnifasciata","Liopsetta pinnifasciata",TRUE,"Liopsetta pinnifasciata",NA,"aquamaps_no_raster","Pacific, Northwest",FALSE,NA
"Platichthys stellatus","Platichthys stellatus",TRUE,"Platichthys stellatus","Fis-24899","aquamaps_outside_bbox","Arctic Sea_Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Platichthys flesus","Platichthys flesus",TRUE,"Platichthys flesus","Fis-23725","aquamaps_outside_bbox","Arctic Sea_Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA
"Sardinops sagax","Sardinops sagax",TRUE,"Sardinops sagax","Fis-54081","aquamaps_outside_bbox","Atlantic, Southeast_Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Northeast_Pacific, Western Central_Pacific, Eastern Central_Pacific, Southwest_Pacific, Southeast",FALSE,NA
"Alosa alabamae","Alosa alabamae",TRUE,"Alosa alabamae",NA,"aquamaps_no_raster","Atlantic, Western Central",TRUE,NA
"Alosa fallax","Alosa fallax",TRUE,"Alosa fallax","Fis-25577","aquamaps_outside_bbox","Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA
"Alosa alosa","Alosa alosa",TRUE,"Alosa immaculata","Fis-2","aquamaps_outside_bbox","Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA
"Sprattus muelleri","Sprattus antipodum",FALSE,"Sprattus muelleri","Fis-23832","aquamaps_outside_bbox","Pacific, Southwest",FALSE,NA
"Gadus chalcogrammus","Gadus chalcogrammus",TRUE,"Gadus chalcogrammus","Fis-1918","aquamaps_outside_bbox","Arctic Sea_Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Merlangius merlangus","Merlangius merlangus",TRUE,"Merlangius merlangus","Fis-22726","aquamaps_outside_bbox","Atlantic, Northeast_Mediterranean and Black Sea",FALSE,NA
"Plecoglossus altivelis","Plecoglossus altivelis",TRUE,"Plecoglossus altivelis","Fis-29478","aquamaps_outside_bbox","Pacific, Northwest",FALSE,NA
"Salvelinus malma","Salvelinus malma",TRUE,"Salvelinus malma","Fis-24332","aquamaps_outside_bbox","Arctic Sea_Pacific, Northwest_Pacific, Northeast",FALSE,NA
"Liparis miostomus","Liparis miostomus",TRUE,"Liparis miostomus",NA,"aquamaps_no_raster","Pacific, Northwest",FALSE,NA
"Oncorhynchus nerka","Oncorhynchus nerka",TRUE,"Oncorhynchus nerka","Fis-22920","aquamaps_outside_bbox","Arctic Sea_Indian Ocean, Western_Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Pungitius sinensis","Pungitius sinensis",TRUE,"Pungitius sinensis",NA,"aquamaps_no_raster","Pacific, Northwest",FALSE,NA
"Lycodes toyamensis","Lycodes toyamensis",TRUE,"Lycodes toyamensis",NA,"aquamaps_no_raster","Pacific, Northwest",FALSE,NA
"Lycodes tanakae","Lycodes tanakae",TRUE,"Lycodes tanakae","Fis-54435","aquamaps_outside_bbox","Pacific, Northwest",FALSE,NA
"Pholis nebulosa","Pholis nebulosa",TRUE,"Pholis nebulosa","Fis-150108","aquamaps_outside_bbox","Pacific, Northwest",FALSE,NA
"Pholis crassispina","Pholis crassispina",TRUE,"Pholis crassispina","Fis-150107","aquamaps_outside_bbox","Pacific, Northwest",FALSE,NA
"Lepidopsetta mochigarei","Lepidopsetta mochigarei",TRUE,"Lepidopsetta mochigarei","Fis-33024","aquamaps_outside_bbox","Pacific, Northwest",FALSE,NA
"Lepidopsetta polyxystra","Lepidopsetta polyxystra",TRUE,"Lepidopsetta polyxystra","Fis-144053","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast",FALSE,NA
"Limanda aspera","Limanda aspera",TRUE,"Limanda aspera","Fis-11256","aquamaps_outside_bbox","Arctic Sea_Pacific, Northwest_Pacific, Northeast",FALSE,NA
"Limanda proboscidea","Myzopsetta proboscidea",FALSE,"Limanda proboscidea","Fis-17283","aquamaps_outside_bbox",NA,NA,NA
"Anguilla bicolor","Anguilla bicolor",TRUE,"Anguilla bicolor","Fis-8951","aquamaps_outside_bbox","Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Western Central",FALSE,NA
"Pleuronectes platessa","Pleuronectes platessa",TRUE,"Pleuronectes platessa","Fis-30498","aquamaps_match","Arctic Sea_Atlantic, Northwest_Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",TRUE,NA
"Argentina silus","Glossanodon leioglossus",FALSE,"Glossanodon leioglossus","Fis-23510","fishbase_synonym_corrected","Atlantic, Northwest_Atlantic, Northeast",TRUE,NA
"Ammodytes tobianus","Ammodytes tobianus",TRUE,"Ammodytes tobianus","Fis-29269","aquamaps_outside_bbox","Atlantic, Northeast",FALSE,NA
"Argentina sialis","Argentina sialis",TRUE,"Argentina sialis","Fis-29667","aquamaps_outside_bbox","Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Blepsias cirrhosus","Blepsias cirrhosus",TRUE,"Blepsias cirrhosus","Fis-24467","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Capros aper","Capros aper",TRUE,"Capros aper","Fis-22743","aquamaps_outside_bbox","Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA
"Eumicrotremus terraenovae","Eumicrotremus spinosus",FALSE,"Eumicrotremus spinosus","Fis-24612","fishbase_synonym_corrected","Atlantic, Northwest",TRUE,NA
"Fritillaria borealis",NA,NA,"Fritillaria borealis",NA,"fishbase_not_assessed",NA,NA,NA
"Hexagrammos lagocephalus","Hexagrammos lagocephalus",TRUE,"Hexagrammos lagocephalus","Fis-24673","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Himantolophus groenlandicus","Himantolophus groenlandicus",TRUE,"Himantolophus groenlandicus",NA,"aquamaps_no_raster","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Western Central_Atlantic, Eastern Central_Atlantic, Southeast_Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Western Central_Pacific, Southeast",TRUE,NA
"Howella sherborni","Howella sherborni",TRUE,"Howella sherborni","Fis-25433","aquamaps_outside_bbox","Atlantic, Southeast_Pacific, Southwest",FALSE,NA
"Lampanyctus macdonaldi","Lampanyctus macdonaldi",TRUE,"Lampanyctus macdonaldi",NA,"aquamaps_no_raster","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Southwest_Atlantic, Southeast_Atlantic, Antarctic_Indian Ocean, Western_Indian Ocean, Eastern_Indian Ocean, Antarctic and Southern_Pacific, Southwest_Pacific, Southeast_Pacific, Antarctic",TRUE,NA
"Lepidopsetta bilineata","Lepidopsetta bilineata",TRUE,"Lepidopsetta bilineata","Fis-55090","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Liparis montagui","Liparis montagui",TRUE,"Liparis montagui","Fis-23599","aquamaps_outside_bbox","Atlantic, Northeast",FALSE,NA
"Lophius piscatorius","Lophius piscatorius",TRUE,"Lophius piscatorius","Fis-29433","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",TRUE,NA
"Mancopsetta maculata","Mancopsetta maculata",TRUE,"Mancopsetta maculata","Fis-133769","aquamaps_outside_bbox","Atlantic, Southwest_Atlantic, Antarctic_Indian Ocean, Antarctic and Southern_Pacific, Southeast_Pacific, Antarctic",FALSE,NA
"Notoscopelus elongatus","Notoscopelus elongatus",TRUE,"Notoscopelus elongatus","Fis-23196","aquamaps_outside_bbox","Mediterranean and Black Sea",FALSE,NA
"Oncorhynchus kisutch","Oncorhynchus kisutch",TRUE,"Oncorhynchus kisutch","Fis-22917","aquamaps_outside_bbox","Arctic Sea_Atlantic, Northeast_Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Osmerus eperlanus","Osmerus eperlanus",TRUE,"Osmerus eperlanus","Fis-23705","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Pacific, Northeast",TRUE,NA
"Pholis clemensi","Pholis clemensi",TRUE,"Pholis clemensi","Fis-30485","aquamaps_outside_bbox","Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Pholis ornata","Pholis ornata",TRUE,"Pholis ornata","Fis-24895","aquamaps_outside_bbox","Pacific, Northwest_Pacific, Northeast_Pacific, Eastern Central",FALSE,NA
"Salmo trutta","Salmo trutta",TRUE,"Salmo trutta","Fis-21630","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Mediterranean and Black Sea_Pacific, Northeast",TRUE,NA
"Sarda sarda","Sarda sarda",TRUE,"Sarda lineolata","Fis-1099","aquamaps_outside_bbox","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Western Central_Atlantic, Eastern Central_Mediterranean and Black Sea_Atlantic, Southwest_Atlantic, Southeast_Indian Ocean, Western",TRUE,NA
"Serranus scriba","Serranus cabrilla",FALSE,"Serranus scriba","Fis-23811","aquamaps_outside_bbox","Atlantic, Northeast_Atlantic, Eastern Central_Mediterranean and Black Sea",FALSE,NA
"Siganus rivulatus","Siganus rivulatus",TRUE,"Siganus rivulatus","Fis-31011","aquamaps_outside_bbox","Mediterranean and Black Sea_Indian Ocean, Western",FALSE,NA
"Synodus myops","Trachinocephalus myops",FALSE,"Trachinocephalus myops","Fis-24378","fishbase_synonym_corrected",NA,NA,NA
"Trachinotus blochii","Trachinotus blochii",TRUE,"Trachinotus blochii","Fis-23862","aquamaps_outside_bbox","Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Western Central_Pacific, Eastern Central_Pacific, Southwest",FALSE,NA
"Vinciguerria nimbaria","Vinciguerria nimbaria",TRUE,"Vinciguerria nimbaria",NA,"aquamaps_no_raster","Atlantic, Northwest_Atlantic, Northeast_Atlantic, Western Central_Atlantic, Eastern Central_Atlantic, Southwest_Atlantic, Southeast_Indian Ocean, Western_Indian Ocean, Eastern_Pacific, Northwest_Pacific, Western Central_Pacific, Eastern Central_Pacific, Southwest_Pacific, Southeast",TRUE,NA
